,Mex_GDP_Growth %,Mex_Annual_GDP_Change,US_GDP_Growth %,US_Annual_GDP_Change,Mx_crimes_per_100k,mx_annual_per_change_crimes,mx_%pov_Under_US_$5.50_Per_Day,yearly_change_in_mx_pov_rate,MEXICO_TOTAL_KILOTONS_Co2,MEXICO_MT_Co2_PER_CAPITA,MEXICO_INFLATION_RATE_PERCENTAGE,MEXICO_INFLATION_ANNUAL_CHANGE,Number_Migrant_origin_Mexico_Destination_US,Number_Migrant_origin_World_Destination_US,Mexico Murder_Per 100K Population,Mexico Murder_Annual % Change,us_border_spending_in_millions,kt of CO2 equivalent,Annual % Change,UNAUTHORIZED_POP_ENTERED_US
0,0.7913396914317901,0.5784273363524084,0.8517832647462277,0.31956257594167675,0.37604838440204497,0.2696098847702347,0.43927648578811385,0.3295719844357976,0.24424381093727487,0.9244665373423855,0.5355636999011733,0.0,0.6773214861088948,0.572558238051395,0.42378358768240815,0.28349298903234765,0.43176733780760623,0.0,0.4629208841148523,0.3391808194561636
1,0.8728050479140819,0.506381226842322,0.6066941015089162,0.1628189550425273,0.4364477371126885,0.2696098847702347,0.4211886304909561,0.3295719844357976,0.0,0.19701745877788568,0.7413898329238786,0.8249304305123588,0.0,0.0,0.4364477371126885,0.28349298903234765,0.0,0.0950934664149865,0.5040280933691387,0.42941150717208215
2,0.7996590070101461,0.4228077398106217,0.33312757201646087,0.13851761846901578,0.456768613149139,0.26225183951131475,0.4211886304909561,0.3295719844357976,0.07606208645105461,0.3044374393792433,0.6178005929606831,0.7379276477328532,0.06428774352505673,0.038674824146301745,0.456768613149139,0.26225183951131475,0.00894854586129755,0.1454274384469807,0.45920264408180134,0.26297104102653907
3,0.7483806638707271,0.43474680938657884,0.8311659807956104,0.8213851761846901,0.5219796743504432,0.33513813688740807,0.5943152454780362,0.6070038910505835,0.09146002102529249,0.2581231813773037,0.396152881002023,0.712064167621542,0.12857548705011335,0.07734964829260349,0.5219796743504432,0.33513813688740807,0.015659955257270694,0.09735203224805744,0.3701714521793018,0.1734185200515817
4,0.6266050646592735,0.3964594483326472,0.72559670781893,0.28675577156743615,0.4762254820062151,0.1581285575454672,0.4211886304909561,0.3295719844357976,0.11827757508296743,0.24187681862269628,0.21781856146623008,0.723440825012277,0.19286323057516985,0.11602447243890524,0.4762254820062151,0.1581285575454672,0.02485707183693761,0.1314867648188307,0.4443296839495972,0.1714324662092242
5,0.8549409732000821,0.5858377933305887,0.9006310013717421,0.5358444714459295,0.45091627722696653,0.1872830764959045,0.5839793281653746,0.357976653696498,0.19310287964050876,0.3420223084384091,0.13151706853126055,0.7477492224586676,0.2571509741002266,0.1546992965852071,0.45091627722696653,0.1872830764959045,0.03405418841660453,0.21415768535678437,0.4877091510018592,0.3141427729928518
6,0.0,0.0,0.7162002743484225,0.21749696233292828,0.4253063406670517,0.18561710398445097,0.4211886304909561,0.3295719844357976,0.08088553583575564,0.0,1.0,1.0,0.3214387176252832,0.19337412073150884,0.4253063406670517,0.18561710398445097,0.04697986577181208,0.19468457567848585,0.396199132410659,0.4350403180870202
7,0.9943979723095425,1.0,0.8654732510288066,0.5127582017010935,0.3556272644387057,0.10898236845758714,0.9999999999999999,1.0,0.15733926988642222,0.10681377303588757,0.980764405010115,0.7655099034211819,0.38706441960052085,0.24069847232485964,0.3556272644387057,0.10898236845758714,0.0758140691026597,0.27159515333014506,0.48047923982648216,0.3696189483068791
8,1.0,0.46521202140798684,0.9580246913580246,0.46172539489671927,0.29603941018382823,0.11661807580174931,0.4211886304909561,0.3295719844357976,0.28860305485127724,0.33632395732298725,0.5547001583087299,0.658045506629563,0.4526901215757584,0.28802282391821066,0.29603941018382823,0.11661807580174931,0.11285110613969673,0.30050833941483734,0.4377194794463954,0.37252340279878365
9,0.8718992852847824,0.3931659118979004,0.962716049382716,0.38396111786148235,0.29092219639217326,0.21754824378731089,0.7932816537467698,0.0622568093385214,0.39719250510172555,0.5088506304558678,0.40918004752359916,0.732116549353413,0.5183158235509961,0.3353471755115617,0.29092219639217326,0.21754824378731089,0.15262242107879692,1.0,1.0000000000000002,0.566440267142152
10,0.6884404898729649,0.3631123919308358,1.0,0.4131227217496962,0.21207796113399752,0.06663890045814247,0.4211886304909561,0.3295719844357976,0.411271205656216,0.46799224054316113,0.42954022311927054,0.7759862497953839,0.5839415255262337,0.3826715271049127,0.21207796113399752,0.06663890045814247,0.16256524981357195,0.3676826636008155,0.0,0.7434826389441676
11,0.8550475335094117,0.5524907369287773,0.9141700960219479,0.30376670716889426,0.13051759280916903,0.03915035401915873,0.5452196382428939,0.0,0.44944654010265306,0.48157129000969956,0.20976681217025467,0.7125552463578327,0.6495672275014712,0.4299958786982635,0.13051759280916903,0.03915035401915873,0.19686800894854586,0.4710728502779351,0.49762445775666186,1.0
12,0.44807087782860533,0.24207492795389052,0.4849245541838134,0.0,0.10178100043439037,0.15090934332916844,0.4211886304909561,0.3295719844357976,0.5314864057056872,0.5899612027158092,0.1129878216904646,0.7450482894090686,0.6800738643120618,0.4630495917778227,0.10178100043439037,0.15090934332916844,0.21948794432015908,0.34080215936829905,0.31088618054121053,0.7577044162832534
13,0.47582222695823595,0.47715109098394404,0.5868998628257888,0.4702308626974483,0.08586131014038922,0.18284048313202836,0.46253229974160204,0.24902723735408555,0.5394224228557298,0.5386760426770119,0.0715673183864282,0.7596169585856932,0.7105805011226523,0.49610330485738163,0.08586131014038922,0.18284048313202836,0.2866020382798906,0.4308446977767497,0.4875025821111341,0.5193799452342667
14,0.5889436067620127,0.5236722931247427,0.7404663923182442,0.5164034021871202,0.07939796361622808,0.20907955018742194,0.4211886304909561,0.3295719844357976,0.6845587780594895,0.7754607177497572,0.05657910634567066,0.7666557538058603,0.7410871379332427,0.5291570179369406,0.07939796361622808,0.20907955018742194,0.3112105393984589,0.58612536825783,0.5368725469944227,0.392905330106825
15,0.7772661191496487,0.5640181144503912,0.8690946502057614,0.49453219927095987,0.03836955639675593,0.10606691656254343,0.37984496124031,0.24902723735408555,0.6907426875270548,0.717143549951504,0.060962802095499494,0.7717302340808643,0.7715937747438331,0.5622107310164998,0.03836955639675593,0.10606691656254343,0.28486204325130493,0.43134881339676356,0.2968394959719067,0.4260682502029834
16,0.6545086428022316,0.39604775627830385,0.8299039780521262,0.3450789793438639,0.05903889941715318,0.2952936276551437,0.36175710594315247,0.3463035019455252,0.8315709191350773,0.9317410281280303,0.03926738065659398,0.7648551317727943,0.8021004115544235,0.5952644440960587,0.05903889941715318,0.2952936276551437,0.31369624658215256,0.7670549300635465,0.6806444949390622,0.4863841879865633
17,0.8209939032280162,0.5524907369287773,0.7396159122085049,0.3001215066828675,0.07614719627283534,0.2811328613077885,0.26873385012919904,0.23346303501945523,0.9040257250633854,1.0,0.02815788739943058,0.7676379112784417,0.8416803292435389,0.6318963779512076,0.07614719627283534,0.2811328613077885,0.28486204325130493,0.7708401351650873,0.4158231770295394,0.36328765542164837
18,0.6532603648929449,0.37175792507204614,0.6053497942386832,0.26123936816524906,0.0,0.0,0.4211886304909561,0.3295719844357976,0.9111578339826438,0.9344083414161011,0.03860750278047133,0.7733671632018334,0.881260246932654,0.6685283118063562,0.0,0.0,0.31369624658215256,0.7899311854781095,0.42656475934724236,0.17309513954117778
19,0.5658961341442066,0.414985590778098,0.3292455418381344,0.13608748481166463,0.2156151396970724,1.0,0.27648578811369506,0.38521400778210113,0.9827262795539344,0.9944228903976722,0.07448874954691483,0.7800785725978066,0.9208401646217694,0.7051602456615048,0.2156151396970724,1.0,0.4603529704200845,0.7801105200436642,0.40632100805618676,0.054907025615716476
20,0.07653313645047605,0.19761218608480857,0.0,0.08869987849331712,0.45282091183785306,0.7738442315701791,0.4211886304909561,0.3295719844357976,0.885473996660689,0.7287827352085356,0.07982973291985114,0.7719757734490097,0.9604200823108848,0.7417921795166537,0.45282091183785306,0.7738442315701791,0.5008699975142928,0.8015359777363544,0.4282173104730428,0.0
21,0.8684132408795793,0.8904899135446687,0.6996707818930041,1.0,0.6899312135720732,0.6196029432181036,0.2739018087855296,0.3696498054474708,0.8200276214622886,0.531886517943744,0.04449063933801546,0.7612538877066624,1.0,0.7784241133718023,0.6899312135720732,0.6196029432181036,0.4926671638081034,0.776491634740105,0.3955794257384838,0.41737319503924347
22,0.7576590222330475,0.40222313709345414,0.560713305898491,0.25759416767922233,0.7350743953143124,0.28613077884214916,0.4211886304909561,0.3295719844357976,0.9331313256240594,0.6743452958292915,0.02127718898220808,0.764445899492552,0.9833125557133289,0.81556694271993,0.7350743953143124,0.28613077884214916,0.594829729057917,0.8198065725717818,0.443503408386697,0.3591105145431677
23,0.7560834519451063,0.4615067929188967,0.656556927297668,0.465370595382746,0.6692427764703637,0.14660558100791338,0.22997416020671835,0.3073929961089494,1.0000000000000002,0.7290252182347228,0.043090335112628456,0.7763136356195777,0.9666251114266577,0.852709772068058,0.6692427764703637,0.14660558100791338,0.6698980860054685,0.8680430533004553,0.44660194174757284,0.3192511243691592
24,0.5819182377969417,0.368052696582956,0.6006721536351166,0.33049817739975695,0.538772918864475,0.0566430653894211,0.4211886304909561,0.3295719844357976,0.9663595324964442,0.6008729388942768,0.033638281591266056,0.768047143558684,0.9499376671399864,0.8898526014161857,0.538772918864475,0.0566430653894211,0.8168033805617698,0.8091975516784724,0.42404461888039663,0.29923824228264845
25,0.6957627054140249,0.524083985179086,0.694485596707819,0.4629404617253949,0.4059210746148963,0.02887685686519509,0.2739018087855296,0.43968871595330733,0.9166615134087774,0.44835111542192063,0.04021227620691044,0.7723031592732035,0.9332502228533153,0.9269954307643137,0.4059210746148963,0.02887685686519509,0.812329107631121,0.8150149580054338,0.4275893410452386,0.2898715335002308
26,0.7295118776687649,0.4804446274186908,0.7468861454046639,0.42648845686512754,0.4255879783664059,0.2623906705539359,0.4211886304909561,0.3295719844357976,0.924803660874405,0.4028855480116391,0.0,0.7599443444098871,0.9332502228533153,0.9269954307643137,0.4255879783664059,0.2623906705539359,0.7964205816554809,0.817710754059251,0.4274637471596778,0.2762518618299556
27,0.679070794102648,0.4351585014409222,0.5726474622770918,0.2260024301336573,0.562821914277122,0.4621685408857421,0.06976744186046502,0.06614785992217898,0.9442417496341184,0.3793646944713869,0.003132096397934228,0.7714028482566705,0.9131707325750054,0.945246573073235,0.562821914277122,0.4621685408857421,0.8381804623415361,0.8259545779230786,0.4338406114439166,0.2552386292142948
28,0.639689148354785,0.4409221902017291,0.6730589849108368,0.46901579586877273,0.839509473051091,0.6320977370540053,0.4211886304909561,0.3295719844357976,0.5705115344414333,0.53237148399612,0.10288208632937508,0.7969389425437878,0.8930912422966955,0.9634977153821568,0.839509473051091,0.6320977370540053,0.8786974894357444,0.8271841789933378,0.4319080520553605,0.2444337265935594
29,0.6459229264505522,0.4656237134623302,0.7495336076817558,0.44835965978128794,1.0,0.4095515757323338,0.0,0.2684824902723735,0.5705115344414333,0.53237148399612,0.06749962049277076,0.7612538877066624,0.8730117520183851,0.9817488576910783,1.0,0.4095515757323338,0.8794432015908525,0.8190124041319145,0.42896927411691804,0.2515675852987976
30,0.4747033437102777,0.3696994648003294,0.6444444444444444,0.28675577156743615,0.37604838440204497,0.2696098847702347,0.4211886304909561,0.3295719844357976,0.5705115344414333,0.53237148399612,0.028359258582284913,0.7602717302340809,0.8529322617400752,1.0,0.42378358768240815,0.28349298903234765,0.9999999999999999,0.8190124041319145,0.42896927411691804,0.2712336412671053
